"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Yakıt Tüketimi Hesaplama Testi","","0","0","6","0","0"
"","Anasayfa Kontrolü","","0","0","3","0","0"
