"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 20 21:41:29 EET 2023","Tue Jun 20 21:43:16 EET 2023","106528","","Yakıt Tüketimi Hesaplama Testi","","","","Başlangıç ve varış noktalarında aynı şehir seçilerek, yakıt tüketimi 0 girilir ve iki yakıt tipi de denenir.",""
"passed","Tue Jun 20 21:43:38 EET 2023","Tue Jun 20 21:44:04 EET 2023","26030","","Yakıt Tüketimi Hesaplama Testi","","","","Uşak'tan Ankara'ya, Toyota Corolla aracı seçilmeli ve hesaplama işlemi gerçekleştirilmesi sağlanmalıdır.",""
"passed","Tue Jun 20 21:37:17 EET 2023","Tue Jun 20 21:37:35 EET 2023","18726","","Anasayfa Kontrolü","","","","URL ve Title Kontrolü",""
"passed","Tue Jun 20 21:37:35 EET 2023","Tue Jun 20 21:37:40 EET 2023","4375","","Anasayfa Kontrolü","","","","Resimlerin kontrolü",""
"passed","Tue Jun 20 21:39:22 EET 2023","Tue Jun 20 21:39:54 EET 2023","31500","","Yakıt Tüketimi Hesaplama Testi","","","","Mesafe ve yakıt tüketimi boş bırakılarak, diğer verilen rastgele seçilmeli ve çıkan sonuçlar gözlemlenmelidir.",""
"passed","Tue Jun 20 21:38:53 EET 2023","Tue Jun 20 21:39:22 EET 2023","29462","","Yakıt Tüketimi Hesaplama Testi","","","","Varsayılan verilerle direkt hesapla butonuna basılmalı, çıkan sonuçlar gözlenmelidir.",""
"passed","Tue Jun 20 21:39:54 EET 2023","Tue Jun 20 21:40:41 EET 2023","46591","","Yakıt Tüketimi Hesaplama Testi","","","","Yakıt tüketimi ve mesafe değerleri ""-1"" girilerek test edilmeli, çıkan sonuçlar gözlenlenmelidir.",""
"passed","Tue Jun 20 21:40:41 EET 2023","Tue Jun 20 21:41:29 EET 2023","48544","","Yakıt Tüketimi Hesaplama Testi","","","","Aynı değerler ""0"" girilerek test edilir.",""
"passed","Tue Jun 20 21:37:40 EET 2023","Tue Jun 20 21:38:42 EET 2023","62004","","Anasayfa Kontrolü","","","","Anasayfa'da linklerin kontrolü",""
